"Ticker
","Name
","Inception Date
","Fund Asset Class Focus
","Parent Comp. Name
","Fund Industry Focus
","Tot Asset (M)
"
JAQAX US Equity,JANUS HNDRSN ASIA EQTY-A,7/29/2011,Equity,Janus Investment Fund,N.A.,38.179
TAGG US Equity,T ROWE PRICE QM US BOND ETF,9/29/2021,Fixed Income,T Rowe Price Exchange-Traded Funds Inc,N.A.,38.162
RCRIX US Equity,RIVERPARK FLTNG RT CMBS-INST,5/31/2010,Fixed Income,RiverPark Funds Trust,Real Estate,38.157
KESGX US Equity,KENNEDY CAP ESG SMD CAP-INST,6/28/2019,Equity,Investment Managers Series Trust II/Kennedy Capital Management Inc,N.A.,38.137
VFPIX US Equity,PRIVATE CAPITAL MGMT VALUE-I,5/28/2010,Equity,FundVantage Trust,N.A.,38.127
AAIIX US Equity,ANCORA INCOME FUND-I,1/5/2004,Fixed Income,Ancora Trust,N.A.,38.059
MTGP US Equity,WISDOMTREE MTGE PLUS BOND,11/14/2019,Fixed Income,WisdomTree ETFs/USA,N.A.,38.035
CDCDX US Equity,COMMUNITY DEVELOPMENT-A,4/29/2016,Fixed Income,Community Development Fund/USA,N.A.,37.967
IRL US Equity,NEW IRELAND FUND INC,3/29/1990,Equity,New Ireland Fund Inc/USA,N.A.,37.881
MRJAX US Equity,MSIF M/A RL RTRN PORT-A,6/1/2018,Equity,Morgan Stanley Institutional Fund Inc,Real Estate,37.871
XCLIX US Equity,THRIVENT CHURCH LN & INC-S,9/28/2018,Fixed Income,Thrivent Funds/USA,N.A.,37.69
ETIGX US Equity,PARAMETRIC TAX MNG INTL EQ-A,4/22/1998,Equity,Eaton Vance Mutual Funds Trust,N.A.,37.642
PYELX US Equity,PAYDEN EMER MRKT LCL BND-INV,11/2/2011,Fixed Income,Payden & Rygel Investment Group/The,N.A.,37.64
SIVLX US Equity,SEAFARER OVERSEAS VALUE-INST,5/31/2016,Equity,Financial Investors Trust,N.A.,37.516
QRVLX US Equity,FPA QUEENS ROAD VALUE,6/12/2002,Equity,Bragg Capital Trust,N.A.,37.514
RCNYX US Equity,ROCKEFELLER INT T/E NY-INS,12/26/2013,Fixed Income,Trust For Professional Managers/Rockefeller & Co Inc,N.A.,37.5
TSDHX US Equity,TIAA-CREF SHRT DUR IMPCT-ADV,11/16/2018,Fixed Income,TIAA-CREF Funds,N.A.,37.438
APEIX US Equity,VIRTUS ALLIANZ PREF SEC-INST,3/15/2018,Fixed Income,Virtus Strategy Trust,N.A.,37.435
FFSG US Equity,FORMULAFOLIOS SMART GROWTH,11/30/2017,Equity,Northern Lights Fund Trust ETFs/USA,N.A.,37.342
SMLVX US Equity,SGI US SMALL CAP EQUITY-C,3/31/2016,Equity,RBB Fund Inc/Abbey Capital Ltd,N.A.,37.304
MICPX US Equity,MATTHEWS ASIA CRED OPP-INST,4/29/2016,Fixed Income,Matthews International Funds,N.A.,37.291
DGBEX US Equity,DFA GLOBAL SOCIAL CORE,11/15/2019,Equity,DFA Investment Dimensions Group Inc,N.A.,37.276
ADEIX US Equity,ANCORA DVD VAL EQTY-I,5/1/2019,Equity,Ancora Trust,N.A.,37.2
PQIN US Equity,PGIM QUANT SOLUTIONS STRATEG,12/6/2018,Equity,PGIM ETF Trust,N.A.,37.166
JMABX US Equity,JH MAS INVEST GRD CORP BND,7/9/2019,Fixed Income,John Hancock Strategic Series,N.A.,37.118
TILDX US Equity,DCM/INNOVA HIGH EQ INC INNO,3/16/2005,Equity,Centaur Mutual Funds Trust,N.A.,37.106
SPGSX US Equity,STATE ST PREM GROW EQ,12/12/1997,Equity,State Street Variable Insurance Series Funds Inc,N.A.,37.091
ESVAX US Equity,EATON VANCE GL SM CAP EQ-A,3/1/2002,Equity,Eaton Vance Mutual Funds Trust,N.A.,37.084
THNYX US Equity,THORNBURG NY INTERM MUNI-A,9/5/1997,Fixed Income,Thornburg Investment Trust,N.A.,37.018
ACWDX US Equity,AMG GW&K S/M CAP GROWTH - N,11/3/2010,Equity,AMG Funds IV,N.A.,36.968
TGMBX US Equity,PGIM CORPORATE BOND-Z,1/5/1993,Fixed Income,Target Portfolio Trust/The,N.A.,36.95
TANDX US Equity,CASTLE TANDEM FUND-INST,3/15/2019,Equity,PFS Funds/Castle Investment Management LLC,N.A.,36.87
TFRIX US Equity,TERRA FIRMA US CONC REAL-INS,5/26/2020,Equity,Trust for Professional Managers/Terra Firma Asset Management LLC,Real Estate,36.836
RYHRX US Equity,RYDEX SERIES REAL ESTATE-H,2/20/2004,Equity,Rydex Series Funds,Real Estate,36.776
HOLD US Equity,ADVISORSHARES NORTH SQUARE M,1/15/2014,Fixed Income,AdvisorShares ETFs/USA,N.A.,36.665
GFGF US Equity,GURU FAVORITE STOCKS ETF,12/16/2021,Equity,Alpha Architect ETFs/USA,Thematic,36.628
TSMDX US Equity,TRILLIUM ESG SM/MD CAP-INST,8/31/2015,Equity,Professionally Managed Portfolios,N.A.,36.611
AFAZX US Equity,APPLIED FINANCE CORE-INST,8/31/2009,Equity,World Funds Trust/Applied Finance Advisors LLC,N.A.,36.597
TYA US Equity,SIMPLIFY RISK PARITY TREASUR,9/28/2021,Fixed Income,Simplify Exchange Traded Funds Trust,N.A.,36.531
JIB US Equity,JANUS HENDERSON SUST IMP C/B,9/9/2021,Fixed Income,Janus Detroit Street Trust,N.A.,36.53
JMAEX US Equity,JH MAS SECURITIZED DEBT,7/9/2019,Fixed Income,John Hancock Strategic Series,N.A.,36.522
RWGIX US Equity,WEDGEWOOD FUND-INST,9/30/2010,Equity,RiverPark Funds Trust,N.A.,36.522
GABFX US Equity,GMO ASSET ALLOCATION BD-VI,3/18/2009,Fixed Income,GMO Trust,N.A.,36.451
EJUL US Equity,INNOVATOR EMERGING MARKETS P,7/1/2019,Equity,Innovator ETF Trust,N.A.,36.311
FIMUX US Equity,FROST MUNICIPAL BOND-INST,4/25/2008,Fixed Income,Advisors' Inner Circle Fund II/Frost Investment Advisors LLC,N.A.,36.24
RYFSX US Equity,ROYCE GL FINANCIAL SERV-SV,12/31/2003,Equity,Royce Fund/The,Financial,36.176
VRLIX US Equity,STONE RIDGE US HDG EQTY-I,5/1/2013,Equity,Stone Ridge Trust,N.A.,36.117
RFISX US Equity,RANGER SMALL CAP-INS,10/31/2011,Equity,Ranger Funds Investment Trust,N.A.,36.08
MBND US Equity,SPDR NUVEEN MUNICIPAL BOND,2/4/2021,Fixed Income,State Street ETF/USA,N.A.,36.039
ESGHX US Equity,GABELLI ESG FUND-A,6/1/2007,Equity,Gabelli ESG Fund Inc/Fund Parent,N.A.,36.033
THMBX US Equity,THRIVENT HI INC MUNI INC-S,2/28/2018,Fixed Income,Thrivent Mutual Funds,N.A.,36.019
FCMVX US Equity,FIDELITY MID CAP VAL K6,5/31/2017,Equity,Fidelity Funds/USA,N.A.,35.876
ATVPX US Equity,ALGER 35 FUND-Z,3/29/2018,Equity,Alger Funds/The,N.A.,35.62
SCRD US Equity,JANUS HENDERSON SUST CORP BD,9/9/2021,Fixed Income,Janus Detroit Street Trust,N.A.,35.555
WINC US Equity,WESTERN ASSET ST DUR INC ETF,2/7/2019,Fixed Income,Legg Mason ETF Investment Trust,N.A.,35.492
PRKAX US Equity,PGIM REAL ESTATE INCOME-A,6/3/2015,Equity,Prudential Investment Portfolios 9,Real Estate,35.474
UMAR US Equity,INNOVATOR U.S. EQUITY ULTRA,3/2/2020,Equity,Innovator ETF Trust,N.A.,35.393
BIAYX US Equity,BROWN ADV SUST S/C COR-INV,9/30/2021,Equity,Brown Advisory Funds,N.A.,35.357
