DATE,FEDFUNDS
1969-01-01,0.04651162790697683
1969-02-01,0.049206349206349254
1969-03-01,0.027231467473525006
1969-04-01,0.09131075110456566
1969-05-01,0.17004048582995956
1969-06-01,0.026528258362168433
1969-07-01,-0.032584269662921495
1969-08-01,0.06736353077816504
1969-09-01,-0.0043525571273121955
1969-10-01,-0.016393442622950838
1969-11-01,-0.01666666666666672
1969-12-01,0.013559322033898313
1970-01-01,0.0011148272017837968
1970-02-01,0.0
1970-03-01,-0.13585746102449892
1970-04-01,0.04381443298969079
1970-05-01,-0.01851851851851849
1970-06-01,-0.04276729559748427
1970-07-01,-0.05256241787122207
1970-08-01,-0.08183079056865461
1970-09-01,-0.049848942598187285
1970-10-01,-0.014308426073131986
1970-11-01,-0.09677419354838723
1970-12-01,-0.12499999999999989
