year,month,NROU
1961,12,5.511857806999999
1962,1,5.514558999999999
1962,2,5.517386666666666
1962,3,5.520214333333334
1962,4,5.523042
1962,5,5.526011491333334
1962,6,5.528980982666666
1962,7,5.531950473999999
1962,8,5.535074982666666
1962,9,5.538199491333334
1962,10,5.541324
1962,11,5.544612
1962,12,5.5479
1963,1,5.551188
1963,2,5.554642666666666
1963,3,5.5580973333333334
1963,4,5.561552
1963,5,5.565171666666666
1963,6,5.568791333333333
1963,7,5.572411
1963,8,5.576189795666667
1963,9,5.5799685913333334
1963,10,5.583747387000001
1963,11,5.587674141000001
1963,12,5.591600895
1964,1,5.595527649
1964,2,5.599587099333333
1964,3,5.603646549666666
1964,4,5.607705999999999
1964,5,5.611878189666666
1964,6,5.616050379333333
1964,7,5.620222569
1964,8,5.624484046
1964,9,5.628745523
1964,10,5.633007
1964,11,5.637330333333333
1964,12,5.641653666666667
1965,1,5.645976999999999
1965,2,5.6503326666666664
1965,3,5.6546883333333335
1965,4,5.659044000000001
1965,5,5.663401333333334
1965,6,5.667758666666667
1965,7,5.672116
1965,8,5.676445666666667
1965,9,5.680775333333333
1965,10,5.685105
1965,11,5.68938
1965,12,5.693655000000001
1966,1,5.69793
1966,2,5.702129666666667
1966,3,5.706329333333334
1966,4,5.710529
1966,5,5.714639666666667
1966,6,5.718750333333333
1966,7,5.722861
1966,8,5.726879
1966,9,5.730897
1966,10,5.734915
1966,11,5.738844666666667
1966,12,5.742774333333333
1967,1,5.746704
1967,2,5.750559333333333
1967,3,5.754414666666667
1967,4,5.75827
1967,5,5.762070666666667
1967,6,5.765871333333333
1967,7,5.769672
1967,8,5.773442666666666
1967,9,5.777213333333333
1967,10,5.780983999999999
1967,11,5.7847513333333325
1967,12,5.788518666666667
1968,1,5.792286
1968,2,5.796076828333333
1968,3,5.799867656666667
1968,4,5.803658485
1968,5,5.807497500999999
1968,6,5.811336517
1968,7,5.815175533
1968,8,5.819085355333333
1968,9,5.822995177666667
1968,10,5.826905
1968,11,5.830903666666667
1968,12,5.834902333333333
1969,1,5.838901
1969,2,5.843003880333334
1969,3,5.847106760666667
1969,4,5.8512096410000005
1969,5,5.855427760666667
1969,6,5.859645880333334
1969,7,5.863864
1969,8,5.868205333333334
1969,9,5.872546666666667
1969,10,5.876888
1969,11,5.881358122333333
1969,12,5.885828244666667
1970,1,5.890298367000001
1970,2,5.894898911333334
1970,3,5.899499455666667
1970,4,5.9041
1970,5,5.908830666666667
1970,6,5.913561333333333
1970,7,5.918292
1970,8,5.923148333333334
1970,9,5.928004666666666
1970,10,5.932861
1970,11,5.937834666666666
1970,12,5.942808333333334
1971,1,5.947782
1971,2,5.95286
1971,3,5.957938
1971,4,5.9630160000000005
1971,5,5.968179203666667
1971,6,5.973342407333334
1971,7,5.978505611
1971,8,5.983729407333334
1971,9,5.988953203666666
1971,10,5.994177
1971,11,5.999431333333333
1971,12,6.004685666666667
1972,1,6.00994
1972,2,6.015190185333333
1972,3,6.020440370666667
1972,4,6.025690556
1972,5,6.030899370666666
1972,6,6.036108185333333
1972,7,6.041316999999999
1972,8,6.046446666666666
1972,9,6.051576333333333
1972,10,6.056706
1972,11,6.061719132
1972,12,6.066732264
1973,1,6.071745396
1973,2,6.076608597333333
1973,3,6.081471798666667
1973,4,6.086335
1973,5,6.091018873333334
1973,6,6.0957027466666664
1973,7,6.10038662
1973,8,6.104867935333333
1973,9,6.109349250666667
1973,10,6.113830566
1973,11,6.1180925366666665
1973,12,6.122354507333333
1974,1,6.126616478
1974,2,6.130649318666666
1974,3,6.134682159333334
1974,4,6.138715
1974,5,6.142514845333333
1974,6,6.146314690666667
1974,7,6.150114536
1974,8,6.153682867333334
1974,9,6.157251198666667
1974,10,6.16081953
1974,11,6.164161020000001
1974,12,6.16750251
1975,1,6.170844000000001
1975,2,6.173965666666667
1975,3,6.177087333333334
1975,4,6.180209
1975,5,6.183117333333333
1975,6,6.186025666666667
1975,7,6.188934
1975,8,6.191633484
1975,9,6.194332968
1975,10,6.197032452
1975,11,6.199524634666667
1975,12,6.202016817333333
1976,1,6.204509
1976,2,6.206792
1976,3,6.209075
1976,4,6.211358000000001
1976,5,6.2134263333333335
1976,6,6.215494666666667
1976,7,6.217563
1976,8,6.219408333333334
1976,9,6.221253666666667
1976,10,6.223099
1976,11,6.224709666666667
1976,12,6.226320333333334
1977,1,6.227931
1977,2,6.229292854333333
1977,3,6.230654708666666
1977,4,6.232016562999999
1977,5,6.2331140419999995
1977,6,6.234211521
1977,7,6.235309
1977,8,6.236125
1977,9,6.236941
1977,10,6.237757
1977,11,6.238275
1977,12,6.238793
1978,1,6.239311
1978,2,6.239516333333333
1978,3,6.239721666666666
1978,4,6.239927
1978,5,6.239809477333333
1978,6,6.239691954666667
1978,7,6.239574432
1978,8,6.239127794666667
1978,9,6.238681157333334
1978,10,6.23823452
1978,11,6.237459500666667
1978,12,6.2366844813333335
1979,1,6.235909462
1979,2,6.234811974666667
1979,3,6.233714487333333
1979,4,6.232616999999999
1979,5,6.231209185
1979,6,6.22980137
1979,7,6.228393555
1979,8,6.22669237
1979,9,6.224991185
1979,10,6.22329
1979,11,6.221316836666667
1979,12,6.219343673333333
1980,1,6.21737051
1980,2,6.215150006666667
1980,3,6.212929503333333
1980,4,6.210709
1980,5,6.208268666666666
1980,6,6.205828333333334
1980,7,6.203388
1980,8,6.200757201666667
1980,9,6.198126403333333
1980,10,6.195495605
1980,11,6.192704736666666
1980,12,6.189913868333334
1981,1,6.187123000000001
1981,2,6.184202472000001
1981,3,6.181281944
1981,4,6.178361416
1981,5,6.175341765333333
1981,6,6.172322114666667
1981,7,6.169302463999999
1981,8,6.166211976
1981,9,6.163121488
1981,10,6.160031
1981,11,6.156896333333333
1981,12,6.153761666666667
1982,1,6.150627
1982,2,6.147471178
1982,3,6.144315356
1982,4,6.141159534
1982,5,6.138002022666667
1982,6,6.134844511333333
1982,7,6.131687
1982,8,6.128542666666667
1982,9,6.125398333333333
1982,10,6.122254
1982,11,6.119132333333333
1982,12,6.116010666666667
1983,1,6.112889
1983,2,6.109794666666667
1983,3,6.106700333333333
1983,4,6.103606
1983,5,6.1005374686666665
1983,6,6.097468937333334
1983,7,6.094400406
1983,8,6.091351604
1983,9,6.088302802
1983,10,6.085254
1983,11,6.082213
1983,12,6.079172
1984,1,6.076131
1984,2,6.0730813333333336
1984,3,6.070031666666667
1984,4,6.066982
1984,5,6.063908333333334
1984,6,6.060834666666667
1984,7,6.057761
1984,8,6.054647794333333
1984,9,6.051534588666666
1984,10,6.048421382999999
1984,11,6.0452485886666665
1984,12,6.042075794333333
1985,1,6.038903
1985,2,6.035648506333334
1985,3,6.032394012666667
1985,4,6.029139519
1985,5,6.025778679333333
1985,6,6.022417839666667
1985,7,6.019057
1985,8,6.015564
1985,9,6.012071
1985,10,6.008578
1985,11,6.004926
1985,12,6.0012739999999996
1986,1,5.997622
1986,2,5.9937846666666665
1986,3,5.989947333333333
1986,4,5.98611
1986,5,5.9820625173333335
1986,6,5.978015034666667
1986,7,5.973967552
1986,8,5.969686826
1986,9,5.9654061
1986,10,5.961125374
1986,11,5.956592083
1986,12,5.952058792
1987,1,5.947525501
1987,2,5.942725499333334
1987,3,5.937925497666667
1987,4,5.933125496000001
1987,5,5.928050836000001
1987,6,5.922976176000001
1987,7,5.917901516000001
1987,8,5.912552677333334
1987,9,5.907203838666667
1987,10,5.901855
1987,11,5.896241666666667
1987,12,5.890628333333334
1988,1,5.885015
1988,2,5.879156666666667
1988,3,5.8732983333333335
1988,4,5.86744
1988,5,5.861365666666667
1988,6,5.855291333333334
1988,7,5.849217
1988,8,5.842962147333334
1988,9,5.836707294666667
1988,10,5.830452442
1988,11,5.82405742
1988,12,5.817662398
1989,1,5.811267376
1989,2,5.804773917333334
1989,3,5.7982804586666665
1989,4,5.791787
1989,5,5.785236333333334
1989,6,5.778685666666666
1989,7,5.772135
1989,8,5.7655661773333335
1989,9,5.758997354666667
1989,10,5.752428532000001
1989,11,5.745874021333334
1989,12,5.739319510666667
1990,1,5.7327650000000006
1990,2,5.726253536666667
1990,3,5.719742073333333
1990,4,5.71323061
1990,5,5.706787904333334
1990,6,5.700345198666667
1990,7,5.693902493
1990,8,5.687552134666666
1990,9,5.681201776333333
1990,10,5.674851417999999
1990,11,5.668616136333333
1990,12,5.662380854666666
1991,1,5.656145573
1991,2,5.650043048666666
1991,3,5.643940524333334
1991,4,5.637838
1991,5,5.6318790000000005
1991,6,5.62592
1991,7,5.619961
1991,8,5.614152
1991,9,5.6083430000000005
1991,10,5.602534
1991,11,5.596881511333334
1991,12,5.591229022666666
1992,1,5.585576533999999
1992,2,5.580079022666666
1992,3,5.574581511333332
1992,4,5.569083999999999
1992,5,5.563742333333333
1992,6,5.558400666666666
1992,7,5.553058999999999
1992,8,5.547876333333333
1992,9,5.542693666666667
1992,10,5.537511
1992,11,5.532492333333334
1992,12,5.527473666666666
1993,1,5.522455
1993,2,5.517604843333333
1993,3,5.512754686666667
1993,4,5.50790453
1993,5,5.503224532
1993,6,5.4985445340000005
1993,7,5.493864536
1993,8,5.489356835333333
1993,9,5.484849134666667
1993,10,5.480341434
1993,11,5.476007143333333
1993,12,5.471672852666667
1994,1,5.467338562
1994,2,5.463174041333334
1994,3,5.459009520666666
1994,4,5.454845
1994,5,5.4508426666666665
1994,6,5.446840333333333
1994,7,5.442838
1994,8,5.438989
1994,9,5.4351400000000005
1994,10,5.431291000000001
1994,11,5.427584666666667
1994,12,5.423878333333334
1995,1,5.420172
1995,2,5.416598495
1995,3,5.41302499
1995,4,5.409451485
1995,5,5.40599799
1995,6,5.402544495
1995,7,5.399091
1995,8,5.3957440000000005
1995,9,5.392397
1995,10,5.38905
1995,11,5.385792
1995,12,5.382534
1996,1,5.379276
1996,2,5.376087164
1996,3,5.372898328
1996,4,5.369709492
1996,5,5.366570473
1996,6,5.363431454
1996,7,5.360292435
1996,8,5.357186158666667
1996,9,5.354079882333333
1996,10,5.350973606
1996,11,5.347881070666666
1996,12,5.3447885353333335
1997,1,5.341696
1997,2,5.338600460666666
1997,3,5.335504921333333
1997,4,5.332409382
1997,5,5.329299768
1997,6,5.326190154
1997,7,5.32308054
1997,8,5.31995036
1997,9,5.316820180000001
1997,10,5.31369
1997,11,5.3105340000000005
1997,12,5.307378
1998,1,5.304222
1998,2,5.301036
1998,3,5.29785
1998,4,5.294664
1998,5,5.291443
1998,6,5.288222
1998,7,5.285001
1998,8,5.281745
1998,9,5.278489
1998,10,5.275233
1998,11,5.271943
1998,12,5.268653
1999,1,5.265363
1999,2,5.262040153
1999,3,5.258717305999999
1999,4,5.255394459
1999,5,5.252040863333333
1999,6,5.248687267666667
1999,7,5.245333672
1999,8,5.241950671
1999,9,5.23856767
1999,10,5.235184669
1999,11,5.231772446
1999,12,5.228360223
2000,1,5.224948
2000,2,5.221506000000001
2000,3,5.218064
2000,4,5.214622
2000,5,5.211151666666667
2000,6,5.207681333333333
2000,7,5.204211
2000,8,5.200717666666667
2000,9,5.197224333333333
2000,10,5.193731
2000,11,5.190219515
2000,12,5.18670803
2001,1,5.183196545
2001,2,5.179668903666667
2001,3,5.176141262333333
2001,4,5.172613621
2001,5,5.169070080666667
2001,6,5.1655265403333335
2001,7,5.161983
2001,8,5.158426333333334
2001,9,5.1548696666666665
2001,10,5.151313
2001,11,5.1477471543333335
2001,12,5.144181308666667
2002,1,5.1406154630000005
2002,2,5.137045308666667
2002,3,5.1334751543333335
2002,4,5.129905
2002,5,5.1263396666666665
2002,6,5.122774333333333
2002,7,5.119209
2002,8,5.115659838666667
2002,9,5.112110677333333
2002,10,5.108561516
2002,11,5.105037677333334
