year,month,GDPC1
1963,4,0.011221214528212231
1963,5,0.011221214528212231
1963,6,0.011221214528212231
1963,7,0.021984344593379168
1963,8,0.021984344593379168
1963,9,0.021984344593379168
1963,10,0.006556024365806046
1963,11,0.006556024365806046
1963,12,0.006556024365806046
1964,1,0.02108252098952268
1964,2,0.02108252098952268
1964,3,0.02108252098952268
1964,4,0.010887336899478184
1964,5,0.010887336899478184
1964,6,0.010887336899478184
1964,7,0.015623006663855188
1964,8,0.015623006663855188
1964,9,0.015623006663855188
1964,10,0.003088718582378913
1964,11,0.003088718582378913
1964,12,0.003088718582378913
1965,1,0.02419751879498433
1965,2,0.02419751879498433
1965,3,0.02419751879498433
1965,4,0.012632982485488498
1965,5,0.012632982485488498
1965,6,0.012632982485488498
1965,7,0.022232522817397404
1965,8,0.022232522817397404
